date,case,hospital,icu,death,name,sex,agegroup
2021-01-01,134,69,4,3,Grampian,female,85+
2021-01-01,160,77,11,0,Grampian,male,0
2021-01-01,330,57,12,0,Grampian,male,1-14
2021-01-01,460,31,6,3,Grampian,male,15-44
2021-01-01,228,50,11,1,Grampian,male,45-64
2021-01-01,337,94,3,4,Grampian,male,65-74
2021-01-01,297,90,1,2,Grampian,male,75-84
2021-01-01,603,33,10,1,Grampian,male,85+
2021-01-01,450,49,7,1,Greater Glasgow and Clyde,female,0
2021-01-01,379,30,3,4,Greater Glasgow and Clyde,female,1-14
2021-01-01,430,48,8,4,Greater Glasgow and Clyde,female,15-44
2021-01-01,291,79,15,4,Greater Glasgow and Clyde,female,45-64
2021-01-01,346,60,5,3,Greater Glasgow and Clyde,female,65-74
2021-01-01,242,57,4,1,Greater Glasgow and Clyde,female,75-84
2021-01-01,436,91,7,4,Greater Glasgow and Clyde,female,85+
2021-01-01,147,66,14,4,Greater Glasgow and Clyde,male,0
2021-01-01,279,62,9,3,Greater Glasgow and Clyde,male,1-14
2021-01-01,381,78,16,1,Greater Glasgow and Clyde,male,15-44
2021-01-01,284,57,6,2,Greater Glasgow and Clyde,male,45-64
2021-01-01,31,96,13,3,Greater Glasgow and Clyde,male,65-74
2021-01-01,259,28,11,1,Greater Glasgow and Clyde,male,75-84
2021-01-01,266,19,2,5,Greater Glasgow and Clyde,male,85+
2021-01-01,349,83,3,2,Highland,female,0
2021-01-01,104,100,8,2,Highland,female,1-14
2021-01-01,235,58,12,1,Highland,female,15-44
2021-01-01,402,77,6,5,Highland,female,45-64
2021-01-01,423,47,2,1,Highland,female,65-74
2021-01-01,265,42,17,3,Highland,female,75-84
2021-01-01,195,24,8,1,Highland,female,85+
2021-01-01,366,84,1,3,Highland,male,0
2021-01-01,244,85,7,2,Highland,male,1-14
2021-01-01,394,100,12,2,Highland,male,15-44
2021-01-01,177,81,14,2,Highland,male,45-64
2021-01-01,153,56,2,1,Highland,male,65-74
2021-01-01,234,42,9,1,Highland,male,75-84
2021-01-01,230,48,9,2,Highland,male,85+
2021-01-01,227,45,10,3,Lanarkshire,female,0
2021-01-01,186,78,17,4,Lanarkshire,female,1-14
2021-01-01,190,86,6,2,Lanarkshire,female,15-44
2021-01-01,383,84,9,1,Lanarkshire,female,45-64
2021-01-01,252,89,9,2,Lanarkshire,female,65-74
2021-01-01,470,38,14,3,Lanarkshire,female,75-84
2021-01-01,110,61,13,2,Lanarkshire,female,85+
2021-01-01,122,117,8,2,Lanarkshire,male,0
2021-01-01,213,42,2,3,Lanarkshire,male,1-14
2021-01-01,432,44,9,4,Lanarkshire,male,15-44
2021-01-01,97,26,14,5,Lanarkshire,male,45-64
2021-01-01,166,35,5,1,Lanarkshire,male,65-74
2021-01-01,246,16,12,2,Lanarkshire,male,75-84
2021-01-01,540,39,13,1,Lanarkshire,male,85+
2021-01-01,374,38,4,4,Lothian,female,0
2021-01-01,25,59,10,3,Lothian,female,1-14
2021-01-01,363,36,8,4,Lothian,female,15-44
2021-01-01,538,26,6,2,Lothian,female,45-64
2021-01-01,396,50,9,1,Lothian,female,65-74
2021-01-01,338,37,10,1,Lothian,female,75-84
2021-01-01,286,102,12,0,Lothian,female,85+
2021-01-01,426,44,8,2,Lothian,male,0
2021-01-01,551,33,13,3,Lothian,male,1-14
2021-01-01,206,36,7,4,Lothian,male,15-44
2021-01-01,244,55,10,2,Lothian,male,45-64
2021-01-01,147,65,15,2,Lothian,male,65-74
2021-01-01,351,84,5,3,Lothian,male,75-84
2021-01-01,270,72,10,3,Lothian,male,85+
2021-01-01,280,57,9,2,Orkney,female,0
2021-01-01,299,71,7,2,Orkney,female,1-14
2021-01-01,266,32,4,1,Orkney,female,15-44
2021-01-01,281,50,15,3,Orkney,female,45-64
2021-01-01,330,56,9,1,Orkney,female,65-74
2021-01-01,280,71,8,1,Orkney,female,75-84
2021-01-01,412,43,5,2,Orkney,female,85+
2021-01-01,423,41,7,0,Orkney,male,0
2021-01-01,440,85,8,2,Orkney,male,1-14
2021-01-01,477,44,12,3,Orkney,male,15-44
2021-01-01,337,35,4,1,Orkney,male,45-64
2021-01-01,248,64,11,4,Orkney,male,65-74
2021-01-01,351,23,10,2,Orkney,male,75-84
2021-01-01,40,94,16,2,Orkney,male,85+
2021-01-01,374,54,13,1,Shetland,female,0
2021-01-01,282,42,14,3,Shetland,female,1-14
2021-01-01,263,58,10,2,Shetland,female,15-44
2021-01-01,467,36,6,2,Shetland,female,45-64
2021-01-01,252,41,3,3,Shetland,female,65-74
2021-01-01,338,63,11,2,Shetland,female,75-84
2021-01-01,270,27,11,1,Shetland,female,85+
2021-01-01,176,68,7,2,Shetland,male,0
2021-01-01,330,49,5,2,Shetland,male,1-14
2021-01-01,402,38,16,2,Shetland,male,15-44
2021-01-01,240,64,13,2,Shetland,male,45-64
2021-01-01,207,65,14,3,Shetland,male,65-74
2021-01-01,208,29,4,4,Shetland,male,75-84
2021-01-01,169,79,13,3,Shetland,male,85+
2021-01-01,306,32,11,1,Tayside,female,0
2021-01-01,213,47,9,0,Tayside,female,1-14
2021-01-01,38,56,8,2,Tayside,female,15-44
2021-01-01,323,72,11,2,Tayside,female,45-64
2021-01-01,340,58,2,3,Tayside,female,65-74
2021-01-01,170,69,5,2,Tayside,female,75-84
2021-01-01,184,28,14,4,Tayside,female,85+
2021-01-01,317,48,14,5,Tayside,male,0
2021-01-01,296,51,9,2,Tayside,male,1-14
2021-01-01,488,53,8,3,Tayside,male,15-44
2021-01-01,181,22,7,2,Tayside,male,45-64
2021-01-01,309,50,0,5,Tayside,male,65-74
2021-01-01,332,37,13,3,Tayside,male,75-84
2021-01-01,375,58,6,3,Tayside,male,85+
2021-01-01,227,51,6,4,Western Isles,female,0
2021-01-01,259,5,6,3,Western Isles,female,1-14
2021-01-01,189,92,8,3,Western Isles,female,15-44
2021-01-01,152,62,14,3,Western Isles,female,45-64
2021-01-01,289,6,9,3,Western Isles,female,65-74
2021-01-01,306,87,5,4,Western Isles,female,75-84
2021-01-01,246,57,11,2,Western Isles,female,85+
2021-01-01,89,53,9,4,Western Isles,male,0
2021-01-01,259,85,11,4,Western Isles,male,1-14
2021-01-01,288,49,12,4,Western Isles,male,15-44
2021-01-01,310,95,9,4,Western Isles,male,45-64
2021-01-01,152,82,13,2,Western Isles,male,65-74
2021-01-01,338,66,8,2,Western Isles,male,75-84
2021-01-01,134,45,14,2,Western Isles,male,85+
2021-01-02,451,83,7,3,Ayrshire and Arran,female,0
2021-01-02,490,66,5,2,Ayrshire and Arran,female,1-14
2021-01-02,311,70,10,2,Ayrshire and Arran,female,15-44
2021-01-02,449,96,9,4,Ayrshire and Arran,female,45-64
2021-01-02,229,39,5,0,Ayrshire and Arran,female,65-74
2021-01-02,273,41,11,0,Ayrshire and Arran,female,75-84
2021-01-02,189,44,5,1,Ayrshire and Arran,female,85+
2021-01-02,218,50,6,2,Ayrshire and Arran,male,0
2021-01-02,269,50,7,2,Ayrshire and Arran,male,1-14
2021-01-02,179,73,4,2,Ayrshire and Arran,male,15-44
2021-01-02,166,62,16,2,Ayrshire and Arran,male,45-64
2021-01-02,371,65,8,3,Ayrshire and Arran,male,65-74
2021-01-02,279,34,6,1,Ayrshire and Arran,male,75-84
2021-01-02,355,45,12,2,Ayrshire and Arran,male,85+
2021-01-02,203,19,7,4,Borders,female,0
2021-01-02,227,67,5,2,Borders,female,1-14
2021-01-02,416,69,8,3,Borders,female,15-44
2021-01-02,214,45,6,2,Borders,female,45-64
2021-01-02,241,73,6,3,Borders,female,65-74
2021-01-02,258,19,12,3,Borders,female,75-84
2021-01-02,255,40,10,2,Borders,female,85+
2021-01-02,221,46,9,4,Borders,male,0
2021-01-02,271,93,5,3,Borders,male,1-14
2021-01-02,214,82,8,2,Borders,male,15-44
2021-01-02,189,54,2,4,Borders,male,45-64
2021-01-02,137,66,5,1,Borders,male,65-74
2021-01-02,249,65,8,3,Borders,male,75-84
2021-01-02,341,52,11,0,Borders,male,85+
2021-01-02,261,53,11,2,Dumfries and Galloway,female,0
2021-01-02,100,29,10,2,Dumfries and Galloway,female,1-14
2021-01-02,200,36,2,2,Dumfries and Galloway,female,15-44
2021-01-02,392,55,9,3,Dumfries and Galloway,female,45-64
2021-01-02,50,43,11,4,Dumfries and Galloway,female,65-74
2021-01-02,206,101,5,2,Dumfries and Galloway,female,75-84
2021-01-02,355,29,11,3,Dumfries and Galloway,female,85+
2021-01-02,202,68,6,2,Dumfries and Galloway,male,0
2021-01-02,117,40,7,4,Dumfries and Galloway,male,1-14
2021-01-02,309,71,3,2,Dumfries and Galloway,male,15-44
2021-01-02,424,73,6,4,Dumfries and Galloway,male,45-64
2021-01-02,67,41,7,0,Dumfries and Galloway,male,65-74
2021-01-02,307,72,1,4,Dumfries and Galloway,male,75-84
2021-01-02,170,48,6,2,Dumfries and Galloway,male,85+
2021-01-02,426,22,1,1,Fife,female,0
2021-01-02,62,65,7,2,Fife,female,1-14
2021-01-02,363,56,13,2,Fife,female,15-44
2021-01-02,317,107,7,2,Fife,female,45-64
2021-01-02,229,54,17,3,Fife,female,65-74
2021-01-02,198,46,8,2,Fife,female,75-84
2021-01-02,60,49,8,0,Fife,female,85+
2021-01-02,316,51,9,1,Fife,male,0
2021-01-02,235,60,14,3,Fife,male,1-14
2021-01-02,439,72,8,2,Fife,male,15-44
2021-01-02,279,70,5,4,Fife,male,45-64
2021-01-02,84,74,4,2,Fife,male,65-74
2021-01-02,325,53,8,2,Fife,male,75-84
2021-01-02,344,40,11,3,Fife,male,85+
2021-01-02,361,38,4,2,Forth Valley,female,0
2021-01-02,82,79,11,1,Forth Valley,female,1-14
2021-01-02,347,55,8,3,Forth Valley,female,15-44
2021-01-02,297,63,7,0,Forth Valley,female,45-64
2021-01-02,242,22,7,2,Forth Valley,female,65-74
2021-01-02,373,37,10,4,Forth Valley,female,75-84
2021-01-02,166,76,11,1,Forth Valley,female,85+
2021-01-02,229,31,12,2,Forth Valley,male,0
2021-01-02,270,62,9,1,Forth Valley,male,1-14
2021-01-02,634,81,4,3,Forth Valley,male,15-44
2021-01-02,245,82,9,2,Forth Valley,male,45-64
2021-01-02,280,21,8,3,Forth Valley,male,65-74
2021-01-02,497,22,9,3,Forth Valley,male,75-84
2021-01-02,472,31,9,0,Forth Valley,male,85+
2021-01-02,232,46,10,2,Grampian,female,0
2021-01-02,245,92,12,4,Grampian,female,1-14
2021-01-02,401,60,10,1,Grampian,female,15-44
2021-01-02,287,6,0,3,Grampian,female,45-64
2021-01-02,372,36,8,4,Grampian,female,65-74
2021-01-02,208,52,5,5,Grampian,female,75-84
2021-01-02,285,57,3,3,Grampian,female,85+
2021-01-02,258,0,8,2,Grampian,male,0
2021-01-02,412,67,16,2,Grampian,male,1-14
2021-01-02,212,35,12,4,Grampian,male,15-44
2021-01-02,243,36,8,2,Grampian,male,45-64
2021-01-02,280,83,9,2,Grampian,male,65-74
2021-01-02,479,23,7,1,Grampian,male,75-84
2021-01-02,272,22,9,3,Grampian,male,85+
2021-01-02,280,47,12,3,Greater Glasgow and Clyde,female,0
2021-01-02,459,53,9,4,Greater Glasgow and Clyde,female,1-14
2021-01-02,331,10,15,1,Greater Glasgow and Clyde,female,15-44
2021-01-02,317,50,10,3,Greater Glasgow and Clyde,female,45-64
2021-01-02,318,76,11,2,Greater Glasgow and Clyde,female,65-74
2021-01-02,345,70,10,2,Greater Glasgow and Clyde,female,75-84
2021-01-02,232,54,6,2,Greater Glasgow and Clyde,female,85+
2021-01-02,465,39,15,3,Greater Glasgow and Clyde,male,0
2021-01-02,336,65,0,2,Greater Glasgow and Clyde,male,1-14
2021-01-02,328,47,12,3,Greater Glasgow and Clyde,male,15-44
2021-01-02,263,29,14,2,Greater Glasgow and Clyde,male,45-64
2021-01-02,21,63,11,1,Greater Glasgow and Clyde,male,65-74
2021-01-02,330,25,13,3,Greater Glasgow and Clyde,male,75-84
2021-01-02,483,78,0,5,Greater Glasgow and Clyde,male,85+
2021-01-02,246,76,9,2,Highland,female,0
2021-01-02,221,49,15,4,Highland,female,1-14
2021-01-02,292,76,9,3,Highland,female,15-44
2021-01-02,134,37,11,5,Highland,female,45-64
2021-01-02,371,41,10,2,Highland,female,65-74
2021-01-02,453,83,10,4,Highland,female,75-84
2021-01-02,251,21,13,0,Highland,female,85+
2021-01-02,209,107,11,1,Highland,male,0
2021-01-02,157,69,9,2,Highland,male,1-14
2021-01-02,361,86,13,4,Highland,male,15-44
2021-01-02,363,21,15,1,Highland,male,45-64
2021-01-02,228,41,8,1,Highland,male,65-74
2021-01-02,260,73,13,3,Highland,male,75-84
2021-01-02,251,54,6,1,Highland,male,85+
2021-01-02,252,58,12,1,Lanarkshire,female,0
2021-01-02,230,82,8,2,Lanarkshire,female,1-14
2021-01-02,234,0,7,3,Lanarkshire,female,15-44
2021-01-02,392,26,12,3,Lanarkshire,female,45-64
2021-01-02,174,11,8,2,Lanarkshire,female,65-74
2021-01-02,397,41,17,2,Lanarkshire,female,75-84
2021-01-02,0,37,11,2,Lanarkshire,female,85+
2021-01-02,418,58,16,0,Lanarkshire,male,0
2021-01-02,364,79,8,3,Lanarkshire,male,1-14
2021-01-02,294,37,10,2,Lanarkshire,male,15-44
2021-01-02,249,59,12,5,Lanarkshire,male,45-64
2021-01-02,136,75,7,3,Lanarkshire,male,65-74
2021-01-02,201,44,9,5,Lanarkshire,male,75-84
2021-01-02,223,88,16,5,Lanarkshire,male,85+
2021-01-02,109,65,12,4,Lothian,female,0
2021-01-02,373,48,5,1,Lothian,female,1-14
2021-01-02,289,13,10,5,Lothian,female,15-44
2021-01-02,289,61,9,3,Lothian,female,45-64
2021-01-02,331,50,12,1,Lothian,female,65-74
2021-01-02,337,57,10,1,Lothian,female,75-84
2021-01-02,324,33,17,1,Lothian,female,85+
2021-01-02,625,55,8,3,Lothian,male,0
2021-01-02,328,51,9,2,Lothian,male,1-14
2021-01-02,400,58,7,2,Lothian,male,15-44
2021-01-02,376,58,10,2,Lothian,male,45-64
2021-01-02,189,56,6,3,Lothian,male,65-74
2021-01-02,43,85,13,3,Lothian,male,75-84
2021-01-02,315,67,3,3,Lothian,male,85+
2021-01-02,272,62,11,1,Orkney,female,0
2021-01-02,241,53,6,3,Orkney,female,1-14
2021-01-02,356,62,11,3,Orkney,female,15-44
2021-01-02,222,78,11,3,Orkney,female,45-64
2021-01-02,273,58,7,1,Orkney,female,65-74
2021-01-02,327,46,11,2,Orkney,female,75-84
2021-01-02,428,43,17,3,Orkney,female,85+
2021-01-02,199,37,13,2,Orkney,male,0
2021-01-02,370,48,7,3,Orkney,male,1-14
2021-01-02,22,77,11,2,Orkney,male,15-44
2021-01-02,259,74,11,4,Orkney,male,45-64
2021-01-02,447,39,2,1,Orkney,male,65-74
2021-01-02,203,61,22,2,Orkney,male,75-84
2021-01-02,472,75,6,2,Orkney,male,85+
2021-01-02,244,89,8,2,Shetland,female,0
2021-01-02,197,44,15,2,Shetland,female,1-14
2021-01-02,454,49,5,2,Shetland,female,15-44
2021-01-02,279,35,8,3,Shetland,female,45-64
2021-01-02,419,45,7,3,Shetland,female,65-74
2021-01-02,237,45,14,3,Shetland,female,75-84
2021-01-02,328,71,9,2,Shetland,female,85+
2021-01-02,622,48,9,3,Shetland,male,0
2021-01-02,245,31,12,2,Shetland,male,1-14
2021-01-02,224,78,11,2,Shetland,male,15-44
2021-01-02,401,64,6,2,Shetland,male,45-64
2021-01-02,407,50,12,2,Shetland,male,65-74
2021-01-02,138,59,6,3,Shetland,male,75-84
2021-01-02,291,80,4,3,Shetland,male,85+
2021-01-02,99,54,10,1,Tayside,female,0
2021-01-02,248,66,8,2,Tayside,female,1-14
2021-01-02,163,69,10,4,Tayside,female,15-44
2021-01-02,32,64,11,2,Tayside,female,45-64
2021-01-02,316,30,8,3,Tayside,female,65-74
2021-01-02,105,64,6,3,Tayside,female,75-84
2021-01-02,395,26,13,2,Tayside,female,85+
2021-01-02,443,49,0,4,Tayside,male,0
2021-01-02,333,73,5,1,Tayside,male,1-14
2021-01-02,452,63,16,3,Tayside,male,15-44
2021-01-02,162,54,8,1,Tayside,male,45-64
2021-01-02,244,64,1,1,Tayside,male,65-74
2021-01-02,161,52,6,0,Tayside,male,75-84
2021-01-02,306,44,11,1,Tayside,male,85+
2021-01-02,183,99,6,4,Western Isles,female,0
2021-01-02,398,24,4,2,Western Isles,female,1-14
2021-01-02,364,32,9,0,Western Isles,female,15-44
2021-01-02,197,46,8,2,Western Isles,female,45-64
2021-01-02,290,16,8,3,Western Isles,female,65-74
2021-01-02,206,120,10,3,Western Isles,female,75-84
2021-01-02,268,12,7,3,Western Isles,female,85+
2021-01-02,102,58,11,3,Western Isles,male,0
2021-01-02,278,29,8,1,Western Isles,male,1-14
2021-01-02,415,30,15,1,Western Isles,male,15-44
2021-01-02,196,74,10,5,Western Isles,male,45-64
2021-01-02,217,40,10,2,Western Isles,male,65-74
2021-01-02,263,34,8,2,Western Isles,male,75-84
2021-01-02,283,67,11,2,Western Isles,male,85+
2021-01-03,243,54,3,2,Ayrshire and Arran,female,0
2021-01-03,327,45,11,2,Ayrshire and Arran,female,1-14
2021-01-03,233,65,15,1,Ayrshire and Arran,female,15-44
2021-01-03,364,63,12,2,Ayrshire and Arran,female,45-64
2021-01-03,333,62,4,1,Ayrshire and Arran,female,65-74
2021-01-03,302,63,6,2,Ayrshire and Arran,female,75-84
2021-01-03,245,64,12,2,Ayrshire and Arran,female,85+
2021-01-03,285,60,6,3,Ayrshire and Arran,male,0
2021-01-03,251,73,5,4,Ayrshire and Arran,male,1-14
2021-01-03,365,66,9,3,Ayrshire and Arran,male,15-44
2021-01-03,260,87,9,3,Ayrshire and Arran,male,45-64
2021-01-03,0,75,9,3,Ayrshire and Arran,male,65-74
2021-01-03,187,45,11,3,Ayrshire and Arran,male,75-84
2021-01-03,306,25,12,3,Ayrshire and Arran,male,85+
2021-01-03,349,40,10,4,Borders,female,0
2021-01-03,341,22,13,3,Borders,female,1-14
2021-01-03,365,4,5,1,Borders,female,15-44
2021-01-03,263,16,7,0,Borders,female,45-64
2021-01-03,293,83,9,5,Borders,female,65-74
2021-01-03,281,31,11,3,Borders,female,75-84
2021-01-03,332,81,17,2,Borders,female,85+
2021-01-03,214,61,12,3,Borders,male,0
2021-01-03,125,30,11,2,Borders,male,1-14
2021-01-03,445,67,7,2,Borders,male,15-44
2021-01-03,320,63,9,1,Borders,male,45-64
2021-01-03,262,33,10,3,Borders,male,65-74
2021-01-03,374,68,6,1,Borders,male,75-84
2021-01-03,376,47,7,3,Borders,male,85+
2021-01-03,160,68,4,2,Dumfries and Galloway,female,0
2021-01-03,295,34,1,3,Dumfries and Galloway,female,1-14
2021-01-03,214,78,10,1,Dumfries and Galloway,female,15-44
2021-01-03,242,77,12,0,Dumfries and Galloway,female,45-64
2021-01-03,427,75,10,2,Dumfries and Galloway,female,65-74
2021-01-03,287,53,15,3,Dumfries and Galloway,female,75-84
2021-01-03,299,61,2,2,Dumfries and Galloway,female,85+
2021-01-03,284,79,8,3,Dumfries and Galloway,male,0
2021-01-03,432,59,9,1,Dumfries and Galloway,male,1-14
2021-01-03,434,71,9,2,Dumfries and Galloway,male,15-44
2021-01-03,216,75,11,3,Dumfries and Galloway,male,45-64
2021-01-03,153,35,0,1,Dumfries and Galloway,male,65-74
2021-01-03,351,96,10,1,Dumfries and Galloway,male,75-84
2021-01-03,299,67,9,3,Dumfries and Galloway,male,85+
2021-01-03,236,39,7,3,Fife,female,0
2021-01-03,137,23,2,2,Fife,female,1-14
2021-01-03,340,36,9,2,Fife,female,15-44
2021-01-03,322,48,0,4,Fife,female,45-64
2021-01-03,147,99,12,0,Fife,female,65-74
2021-01-03,392,71,8,1,Fife,female,75-84
2021-01-03,87,38,4,3,Fife,female,85+
2021-01-03,371,21,7,2,Fife,male,0
2021-01-03,98,37,13,3,Fife,male,1-14
2021-01-03,381,52,4,1,Fife,male,15-44
2021-01-03,418,35,9,3,Fife,male,45-64
2021-01-03,238,48,5,2,Fife,male,65-74
2021-01-03,259,54,7,3,Fife,male,75-84
2021-01-03,151,65,20,0,Fife,male,85+
2021-01-03,431,69,6,4,Forth Valley,female,0
2021-01-03,405,66,11,2,Forth Valley,female,1-14
2021-01-03,240,40,10,4,Forth Valley,female,15-44
2021-01-03,389,61,4,2,Forth Valley,female,45-64
2021-01-03,441,38,16,2,Forth Valley,female,65-74
2021-01-03,192,54,15,1,Forth Valley,female,75-84
2021-01-03,130,63,12,2,Forth Valley,female,85+
2021-01-03,307,19,3,3,Forth Valley,male,0
2021-01-03,412,54,11,2,Forth Valley,male,1-14
2021-01-03,336,76,8,0,Forth Valley,male,15-44
2021-01-03,329,66,14,2,Forth Valley,male,45-64
2021-01-03,454,72,6,2,Forth Valley,male,65-74
2021-01-03,197,39,17,1,Forth Valley,male,75-84
2021-01-03,341,37,7,1,Forth Valley,male,85+
2021-01-03,204,7,20,3,Grampian,female,0
2021-01-03,290,39,9,3,Grampian,female,1-14
2021-01-03,217,2,3,3,Grampian,female,15-44
2021-01-03,169,60,12,2,Grampian,female,45-64
2021-01-03,215,26,3,2,Grampian,female,65-74
2021-01-03,385,57,9,3,Grampian,female,75-84
2021-01-03,132,51,8,2,Grampian,female,85+
2021-01-03,140,85,12,4,Grampian,male,0
2021-01-03,400,51,17,2,Grampian,male,1-14
2021-01-03,136,59,15,2,Grampian,male,15-44
2021-01-03,275,68,8,2,Grampian,male,45-64
2021-01-03,421,82,6,1,Grampian,male,65-74
2021-01-03,334,55,16,2,Grampian,male,75-84
2021-01-03,341,11,10,1,Grampian,male,85+
2021-01-03,281,58,9,0,Greater Glasgow and Clyde,female,0
2021-01-03,402,27,7,5,Greater Glasgow and Clyde,female,1-14
2021-01-03,353,65,11,3,Greater Glasgow and Clyde,female,15-44
2021-01-03,262,47,12,1,Greater Glasgow and Clyde,female,45-64
2021-01-03,85,11,8,2,Greater Glasgow and Clyde,female,65-74
2021-01-03,281,62,4,2,Greater Glasgow and Clyde,female,75-84
2021-01-03,338,68,10,1,Greater Glasgow and Clyde,female,85+
2021-01-03,166,70,6,2,Greater Glasgow and Clyde,male,0
2021-01-03,388,15,6,3,Greater Glasgow and Clyde,male,1-14
2021-01-03,141,70,10,1,Greater Glasgow and Clyde,male,15-44
2021-01-03,174,75,11,1,Greater Glasgow and Clyde,male,45-64
2021-01-03,139,90,9,4,Greater Glasgow and Clyde,male,65-74
2021-01-03,118,46,12,2,Greater Glasgow and Clyde,male,75-84
2021-01-03,172,54,11,3,Greater Glasgow and Clyde,male,85+
2021-01-03,177,57,5,2,Highland,female,0
2021-01-03,349,76,11,1,Highland,female,1-14
2021-01-03,383,34,6,2,Highland,female,15-44
2021-01-03,266,91,10,3,Highland,female,45-64
2021-01-03,339,76,11,2,Highland,female,65-74
2021-01-03,296,48,8,3,Highland,female,75-84
2021-01-03,201,40,13,3,Highland,female,85+
2021-01-03,377,74,15,2,Highland,male,0
2021-01-03,591,63,7,3,Highland,male,1-14
2021-01-03,425,74,7,2,Highland,male,15-44
2021-01-03,436,76,11,4,Highland,male,45-64
2021-01-03,204,79,10,1,Highland,male,65-74
2021-01-03,353,29,5,1,Highland,male,75-84
2021-01-03,20,58,7,2,Highland,male,85+
2021-01-03,118,52,13,2,Lanarkshire,female,0
2021-01-03,383,84,16,3,Lanarkshire,female,1-14
2021-01-03,122,55,7,2,Lanarkshire,female,15-44
2021-01-03,246,45,12,2,Lanarkshire,female,45-64
